profile_id,level,text,label
twin-0001,NA,"Subject: Q3 Investor Update Draft for Review

Iris, Felix,

Please review the attached draft of the Q3 investor update by EOD tomorrow. I’ve incorporated the latest portfolio performance metrics and the notes from Marta Keller’s feedback last week. Key focus areas are the underperformance in the Nordic retail segment and the recent uplift in the DACH industrials—both need clear, concise explanations.

Felix, can you double-check the compliance disclaimers? Iris, the section on capital deployment strategy (p. 4) needs a sharper tie-in to our long-term growth narrative. Let’s align on edits in our 10 AM standup.

Reference materials are here: https://internal.northwindcapital.com/strategy/quarterly-updates

Thanks,
Marek Berger",0
twin-0001,NA,"Subject: Follow-up on Q3 Investor Update Draft

Iris,

I’ve reviewed the latest draft of the Q3 investor update—overall, the structure and key metrics are well-presented. However, I’d like to refine the language around the portfolio’s resilience in the current market conditions. The tone should reassure without overpromising.

Can we schedule a quick call with Felix Vogel to align on the messaging? I’m free tomorrow between 10 and 12. Also, please ensure the final version includes the updated compliance footnotes from Marek Berger.

Let me know your availability.

Best,
Felix Marchetti",0
twin-0001,NA,"Subject: Q3 Investor Update - Draft Review Request

Iris, Felix,

I’ve reviewed the latest draft of the Q3 investor update and have a few high-level notes to ensure alignment with our strategic messaging. Specifically, I’d like to emphasize the outperforming assets in the Nordic portfolio and downplay the temporary dip in the Central European holdings—Marek’s team has a solid recovery plan in place, but we should frame it as proactive rather than reactive.

Could you both take a look at the updated version in our shared drive and flag any sections that need refinement? The final version needs to go to Marta Keller at KKR and Tomas Haas at Blackstone by COB Thursday for their feedback before we circulate it to the broader investor base.

Link to the draft: https://northwind.capital/internal/docs/Q3_Investor_Update_Draft_v4.pdf

Let’s sync tomorrow at 10 AM if there are any major edits to discuss.

Best,
Felix Marchetti",0
twin-0001,NA,"Subject: Follow-up on Q3 Investor Update Draft

Iris,

I’ve reviewed the latest draft of the Q3 investor update you circulated yesterday. The performance metrics for the Nordic portfolio look strong, but I’d like to refine the language around the growth projections to better align with the board’s conservative tone. Could you and Marek sync on this by EOD tomorrow?

Also, let’s ensure the compliance footnotes are cross-checked with Greta’s team before finalizing. I’ll need the revised version by Friday morning to share with Marta Keller ahead of her call with Tomas Haas.

Thanks,
Felix Vogel",0
twin-0002,NA,"Subject: Q3 ESG Compliance Review - Draft for Your Input

Hi Anna,

I’ve finalized the draft for the Q3 ESG compliance report, incorporating the latest data from the high-net-worth allocations and the risk assessment metrics we discussed last week. Could you review the section on carbon footprint disclosures (pp. 12-15) and flag any discrepancies with the data Marek provided?

I’ve shared the document here for your edits: https://northwindcapital.internal/sharepoint/assetmgmt/ESG_Q3_Draft_v2.pdf

Please aim to send your feedback by EOD Thursday so we can finalize it for Oskar’s review before the Friday leadership meeting. Let me know if you need any clarifications on the methodology.

Thanks,
Iris Sundqvist",0
twin-0002,NA,"Subject: Quarterly Risk Assessment - Draft Review Request

Iris, Felix,

I’ve finalized the draft of the Q3 risk assessment report for the high-net-worth portfolios. Could you both review the sections relevant to your respective regions (Iris for Nordic allocations, Felix for Southern Europe) and flag any discrepancies by EOD Thursday? I’ve included the updated ESG compliance checks as discussed with Oskar last week.

Anna and Marek will handle the final consolidation, but your input is critical before we present to Oskar for sign-off. Let me know if you’d like to sync briefly to walk through the methodology.

Best,
Greta Lindholm",0
twin-0002,NA,"Subject: ESG Compliance Review – Q3 Portfolio Adjustments

Iris, Felix,

Following up on our discussion yesterday, I’ve completed the initial ESG compliance review for the Q3 portfolio adjustments. The flagged positions in the renewable energy sector are now aligned with our updated mandates, but we still need to address the carbon footprint disclosures for the industrial holdings.

Anna and Marek are finalizing the revised allocations, and I’d like to schedule a quick sync with both of you to confirm the sign-off timeline. Please review the draft report here before our meeting: https://northwind-capital.internal/sharepoint/ESG/Q3_Compliance_Draft.pdf

Let me know if you spot any gaps or have concerns. We’re aiming to submit this to Oskar by Friday for final approval.

Best,
Greta Lindholm",0
twin-0002,NA,"Subject: ESG Compliance Review - Q3 Portfolio Adjustments

Hi Anna,

I’ve reviewed the latest ESG compliance checks for the high-net-worth portfolios under your management. The adjustments for the Q3 rebalancing look solid, but I noticed a few holdings in the Nordic Equities sleeve that may need additional documentation to satisfy the new EU sustainability disclosure requirements. Could you pull the latest ESG scores for those positions and confirm they align with our mandate thresholds?

Let’s sync tomorrow at 10 AM to go through this—Oskar Moreau wants the final sign-off by Friday. If you need support from Felix Marchetti on the data side, loop him in early.

Best,
Marek Berger",0
twin-0003,NA,"Subject: Follow-Up on Q2 Compliance Report Draft

Hi Marek,

I hope you’re doing well. I’ve completed the initial draft of the Q2 compliance report for Felix Vogel’s review and wanted to check if you had any additional insights or data points from your recent KYC audits that should be included. Specifically, the section on portfolio investment adherence could benefit from your latest findings.

Please review the draft at your earliest convenience and let me know if you’d like to discuss any adjustments. The document is available here: https://northwindcapital.internal/sharepoint/compliance/Q2_2024_Draft.pdf

I’d appreciate your feedback by EOD Thursday so we can finalize it for Felix’s review on Friday.

Thanks,
Oskar Moreau",0
twin-0003,NA,"Subject: Follow-Up on Q3 KYC Audit Documentation

Hi Marek,

I hope this email finds you well. I’m following up on the KYC audit documentation for the Q3 review, specifically the updated client profiles for the North Star Fund. We’re aiming to finalize the compliance report for Felix Vogel by the end of this week, and your input on the outstanding discrepancies (noted in the draft shared last Tuesday) would be greatly appreciated.

Could you confirm if the missing beneficial ownership details for the two offshore entities have been resolved? If not, we may need to escalate this to Anna Novak for additional support. Let me know if you’d like to sync briefly to align on next steps.

Thanks,
Oskar Moreau",0
